id,formula,num_atomos,energia_eV,centro_masa_x,centro_masa_y,centro_masa_z,fuerza_promedio
0,C62H92ClN18O20S,194,-156919.78212556677,-1.9267304980880382,1.2250070112909421,0.37932372386390184,-4.136808274779469e-05
1,C35H54F2N11O15,117,-89704.74848622501,2.8201719277312822,-2.2309285473244054,-0.31318252638487704,-0.00048682084889151156
2,C84H162O24,270,-138858.91772133,-15.234567739789739,0.5846512410842151,15.170879972344183,7.171616289269878e-06
3,CH6BrClN2O9P2,22,-123680.62802425286,0.7635090887029629,-1.448804791270696,2.077690149069362,-0.00045852045877836645
4,C58H84N8O12,162,-97995.9503262789,19.32725259948809,18.83563330952189,-8.553405794008885,-1.9983990569016896e-05
5,C75H83AsGeIKN5Si,168,-236225.66422986728,0.2564767197430777,0.30376991800269154,0.022939326551588743,-0.0007803720654919744
6,C34H39N5O11S2,91,-87530.09799491237,-0.15397558039939827,-0.7330361675019264,0.699255241641163,-1.496011100243777e-05
7,C62H89BrN19O17,188,-198897.59071973467,-4.304734905388951,0.3169490951712404,-0.8277585969116308,0.00037467986112460494
8,C68H91N17O15S,192,-138881.80827947927,-2.3136003611458027,-0.302230992477174,0.819823518508617,0.00010255930828861892
9,C58H150BF10N13O20PdS2,255,-175886.62955420278,-13.765973551799187,-5.491904757205581,8.929843740833084,-0.000516989326570183
10,C49H69N12O11S3,144,-124844.31790808382,-1.5808203887782477,0.8985422828281644,0.34495613142365966,0.0002480585244484246
11,C104H157N25O23S,310,-205593.2938596183,-0.08970794144761364,0.15948112917308138,-0.051377148379618,-4.222239294904284e-05
12,C37H53N8O14PS,114,-99933.6769488415,0.33999240608887876,-4.0203936451512154,-3.588711133851532,-0.0010994087206199765
13,H8NO15P3SSi,29,-78916.69122102842,-1.1220783002341097,-0.6645970057856571,-1.452702337689608,0.010660495609045029
14,C42H73N15O19,149,-105993.23428769191,-27.09346965940925,23.51047106846796,4.986419630121641,0.0013891439884901047
15,C52H64F3N12O9,140,-99422.75819412651,0.9083741685018148,-0.0037645553362873454,-1.0597504630040298,-3.416765321162529e-05
16,F20Li13Sr2,35,-58711.26733433932,-15.70542594190767,-1.975126650218129,19.95016854448124,0.0091140978038311
17,C33H87O31S10Sn,162,-213273.3417327621,28.57629694500792,-2.2058261005385367,-8.836930798487368,-0.00020757722086273134
18,C39H60F4N11O7,121,-83014.5692247189,-2.8112718279940228,0.7457819503983991,-1.5808770191927735,-6.279119406826794e-05
19,C80H113FN14O19,227,-147286.91742717358,-0.2913051494368649,1.4566018043249578,-3.2285443407425096,-3.2064497645478696e-05
